frame_index,timestamp_sec,trunk_angle_deg,left_knee_deg,right_knee_deg,left_elbow_deg,right_elbow_deg,hip_height_px,trajectory_dx,trajectory_dy,speed_proxy,posture_label,terrain_label,balance_score,line_efficiency_score
121,2.0195579450418157,-132.06897309952305,175.15738877280873,168.75450556503316,156.20206648565255,155.88743337357732,408.8501342773437,-0.2357940673828125,0.169158935546875,0.290195774759527,defensive,technical_or_slow,93.6,99.81
122,2.0362485065710874,-131.62644222721573,177.3902150256243,164.8430514603675,149.8924281278529,161.32527203488962,409.44422912597656,1.56805419921875,1.359649658203125,2.075437583918011,defensive,technical_or_slow,87.45,98.75
123,2.0529390681003585,-129.72929103258804,177.3643807295718,161.34636893858635,140.14999059273975,164.47273799361122,410.4838470458984,0.666259765625,1.321868896484375,1.4802835724223582,defensive,technical_or_slow,83.98,99.47
124,2.0696296296296297,-129.03849915695614,176.5969081365705,153.71105202676063,128.85212739948676,167.8246029668078,410.8520904541016,0.125030517578125,-0.3837127685546875,0.40356922464151923,defensive,technical_or_slow,77.11,99.9
125,2.086320191158901,-128.87154877120258,172.5800311608489,149.96993088214884,122.96745007681979,170.4854272693943,411.39589538574216,-0.065155029296875,0.1320648193359375,0.14726267126773998,defensive,technical_or_slow,77.39,99.95
126,2.103010752688172,-129.28140219796202,169.09202046111903,142.20870641626414,121.62080161415244,171.71315111622076,411.11631774902344,0.6885986328125,0.274017333984375,0.7411164391883024,defensive,technical_or_slow,73.12,99.45
127,2.1197013142174432,-129.56420056669774,166.50376390274653,135.18343352646883,123.23938941720706,171.97198362273676,411.0968353271484,0.3254547119140625,0.8648223876953125,0.9240338369162067,defensive,technical_or_slow,68.68,99.74
128,2.1363918757467144,-130.752192716746,164.4713019111331,131.6503657492,128.20599586594437,171.23682881510862,411.18471374511716,0.8188323974609375,0.27716064453125,0.8644677657429481,defensive,technical_or_slow,67.18,99.34
129,2.1530824372759856,-131.2650390133466,164.24390264666695,128.24732525532028,108.40681047560331,171.77398523289153,411.42877197265625,0.7890625,0.791900634765625,1.117911554752186,defensive,technical_or_slow,64.0,99.37
130,2.1697729988052568,-131.2936038542277,164.26470925449482,123.79001254969712,94.60929191259089,171.75944678536337,411.6092468261719,0.750091552734375,0.1083831787109375,0.7578814227245266,defensive,technical_or_slow,59.53,99.4
131,2.186463560334528,-130.6596635590309,164.70319578223982,124.09183818613882,92.67039381486525,170.79183287356,412.18797607421874,-0.2557830810546875,0.0988311767578125,0.2742126657416882,defensive,technical_or_slow,59.39,99.8
132,2.203154121863799,-129.76765535984367,163.27704859235064,120.91230706098426,92.17751264894292,172.03506000730232,412.4615142822266,-0.7196044921875,0.353240966796875,0.8016294691439559,defensive,technical_or_slow,57.64,99.42
133,2.2198446833930703,-128.76622968237268,162.97618310181585,112.07643687612801,120.5273532678939,174.32140032650918,412.32582092285156,-1.3176116943359375,0.019775390625,1.3177600855714182,defensive,technical_or_slow,49.1,98.95
135,2.2532258064516126,-128.15044512835084,162.28944160526527,108.19224721194072,135.289160006548,175.7921460617658,411.98968200683595,-0.3784637451171875,0.1897735595703125,0.42337785756947,defensive,technical_or_slow,45.9,99.7
136,2.269916367980884,-126.89962558453897,161.76002623523362,107.46958680775407,142.69730405339243,177.9957190492234,412.1307006835938,-0.8607635498046875,0.20220947265625,0.8841959960915258,defensive,technical_or_slow,45.71,99.31
137,2.2866069295101554,-126.64987446839642,162.39360436553702,107.12957739625863,145.04441708601976,179.56519704009654,412.22894897460935,-1.186004638671875,-0.1850128173828125,1.200348593345754,defensive,technical_or_slow,44.74,99.05
138,2.3032974910394266,-126.7621688421175,164.68775634757338,107.23887774390658,147.27886668146346,178.96152985900568,412.20140686035154,-0.5304412841796875,-0.90521240234375,1.0491794171251831,defensive,technical_or_slow,42.55,99.58
139,2.319988052568698,-126.42506914572522,164.55471095805692,110.15258907384477,147.64637738198996,179.73855683838426,412.3382263183594,-1.536407470703125,-1.2692718505859375,1.9928870883023515,defensive,technical_or_slow,45.6,98.77
141,2.35336917562724,-125.68598808793443,174.07613853253662,120.64202671264742,142.8664233711393,167.63307157508385,412.6565979003906,-2.1614532470703125,-2.6057891845703125,3.3855601329313902,defensive,technical_or_slow,46.57,98.27
